,matter,injection_params,weight,size,is_defect,platemark,type,price_before_takeoff
9701,gold,"1 Фианит б/ц Круг 4,5; 20 Фианит б/ц Круг 1",1.59,17.5,0,585,decorative,753.31
9702,silver,None,2.06,17.5,0,925,decorative,226.62
9703,gold,"2 Корунд синт. сапфир Груша 5*3; 6 Корунд синт. сапфир Круг 2,25; 2 Корунд синт. сапфир Круг 3,25; 1 Корунд синт. сапфир Овал 6*4",2.06,16.5,0,585,decorative,815.37
9704,gold,"2 Корунд синт. сапфир Груша 5*3; 6 Корунд синт. сапфир Круг 2,25; 2 Корунд синт. сапфир Круг 3,25; 1 Корунд синт. сапфир Овал 6*4",2.13,17.0,0,585,decorative,843.1
9705,gold,"2 Корунд синт. сапфир Груша 5*3; 6 Корунд синт. сапфир Круг 2,25; 2 Корунд синт. сапфир Круг 3,25; 1 Корунд синт. сапфир Овал 6*4",2.15,16.5,0,585,decorative,851.01
9706,gold,"2 Корунд синт. сапфир Груша 5*3; 6 Корунд синт. сапфир Круг 2,25; 2 Корунд синт. сапфир Круг 3,25; 1 Корунд синт. сапфир Овал 6*4",2.26,18.5,0,585,decorative,1056.64
9707,gold,None,1.01,15.0,0,585,engagement,487.95
9708,gold,None,1.04,17.0,0,585,engagement,502.4
9709,gold,None,0.98,16.5,0,585,engagement,706.43
9710,gold,None,0.99,16.5,0,585,engagement,713.64
9711,gold,None,1.0,16.5,0,585,engagement,720.85
9712,gold,None,1.01,16.5,0,585,engagement,728.06
9713,gold,None,1.02,16.5,1,585,engagement,735.27
9715,gold,"1 фианит 3,5 Круг",1.03,17.0,0,585,engagement,710.9
9716,gold,None,1.65,17.5,0,585,engagement,544.5
9717,gold,1 Фианит SWAROVSKI Круг 6,1.59,15.0,0,585,engagement,2305.5
9718,gold,"1БРКр-57 2/5A 0,28",1.58,16.5,0,585,engagement,7125.31
9719,gold,"1БРКр-57 2/5A 0,28",1.61,16.0,0,585,engagement,5492.35
9720,gold,"1БРКр-57 2/5A 0,28",1.68,17.0,0,585,engagement,3943.6
9721,gold,"1БРКр-57 2/5A 0,28",1.59,16.0,0,585,engagement,3918.44
9722,gold,"1БРКр-57 2/5A 0,28",1.64,17.5,0,585,engagement,4996.18
9723,silver,None,2.66,22.0,0,925,pechatki,169.26
9724,silver,None,2.78,19.5,0,925,pechatki,176.89
9725,silver,None,3.11,21.0,0,925,pechatki,197.92
9727,gold,"12 фианит 1,0 Круг,1 фианит 3,5 Круг",1.35,16.5,0,585,decorative,925.82
9728,gold,None,4.53,19.0,0,585,pechatki,1954.02
9729,gold,"3 Фианит круг 1,0=0,024; 3 Фианит круг 1,25=0,048; 1 Фианит круг 2,0=0,065; 1 Жемчуг культ. белый 8-8,5=3,156",2.38,17.0,0,585,decorative,310.0
9730,silver,"1 фианит Круг 6,0=1,46; 36 Фианит круг 1,0=0,288",2.18,18.0,0,925,decorative,78.24
9731,silver,"1 фианит Круг 6,0=1,46; 36 Фианит круг 1,0=0,288",2.08,15.5,0,925,decorative,82.74
9732,silver,"1 фианит Круг 6,0=1,46; 36 Фианит круг 1,0=0,288",2.0,15.0,0,925,decorative,71.8
9733,silver,"1 фианит Круг 6,0=1,46; 36 Фианит круг 1,0=0,288",1.99,15.0,0,925,decorative,71.42
9734,silver,"1 фианит Круг 6,0=1,46; 36 Фианит круг 1,0=0,288",2.05,15.5,0,925,decorative,73.57
9736,silver,"1 фианит Круг 6,0=1,46; 36 Фианит круг 1,0=0,288",2.11,15.5,0,925,decorative,75.75
9737,silver,"1 фианит Круг 6,0=1,46; 36 Фианит круг 1,0=0,288",2.14,17.0,0,925,decorative,103.9
9738,silver,None,1.98,17.0,0,925,decorative,203.8
9740,gold,"3 Топаз swiss Кв 2,50*2,50 0,380Ct, 12 Фианит Круг 1,00",1.54,16.0,0,585,decorative,718.53
9741,silver,None,2.01,17.0,0,925,decorative,341.92
9742,silver,None,1.88,16.0,0,925,decorative,121.92
9743,silver,None,1.92,17.0,0,925,decorative,103.55
9745,silver,None,1.98,18.5,0,925,decorative,80.59
9746,silver,None,2.0,15.5,0,925,decorative,71.8
9747,silver,None,1.96,17.5,0,925,decorative,105.76
9748,silver,None,1.93,18.5,0,925,decorative,516.55
9751,silver,None,2.97,19.0,0,925,decorative,423.52
9752,gold,"4 Бр Круг 17  0,016 2/3А; 2 Бр Круг 17  0,005 2/3А; 1 0,590 Изумруд нат. Груша 7*5 3/3",2.75,17.5,0,585,decorative,1655.86
9753,gold,"4 Бр Круг 17  0,016 2/3А; 2 Бр Круг 17  0,005 2/3А; 1 0,590 Изумруд нат. Груша 7*5 3/3",2.8,17.0,0,585,decorative,2242.3
9754,silver,"2 Гранат Груша 4*3; 2 Гранат Круг 2; 1 Гранат Маркиз 5*2,5; 10 Фианит бесцветный Круг 1",1.39,16.5,0,925,decorative,161.17
9755,gold,14 Бриллиант Кр-57-0.06ct-2/5А. 1 Бриллиант Кр-57-0.15ct-4/5А.,1.72,16.0,0,585,decorative,2123.25
9756,gold,14 Бриллиант Кр-57-0.06ct-2/5А. 1 Бриллиант Кр-57-0.15ct-4/5А.,1.77,16.5,0,585,decorative,1821.97
9757,gold,14 Бриллиант Кр-57-0.06ct-2/5А. 1 Бриллиант Кр-57-0.15ct-4/5А.,1.8,16.5,0,585,decorative,1885.41
9758,silver,1 Фианит SWAROVSKI Круг 8,2.23,18.0,0,925,engagement,341.9
9765,gold,"1П-73 6/6A 1,03",2.08,17.0,0,585,engagement,21726.83
9766,gold,"1П-73 6/6A 1,03",1.77,16.5,0,585,engagement,38352.94
9768,gold,"16 Фианит бесцветный Круг 1; 2 Фианит бесцветный Круг 2; 2 Фианит бесцветный Круг 2,5; 1 Фианит бесцветный Круг 3,5",2.23,20.0,0,585,decorative,1319.36
9769,gold,"16 Фианит бесцветный Круг 1; 2 Фианит бесцветный Круг 2; 2 Фианит бесцветный Круг 2,5; 1 Фианит бесцветный Круг 3,5",2.07,18.5,0,585,decorative,1224.74
9770,gold,"16 Фианит бесцветный Круг 1; 2 Фианит бесцветный Круг 2; 2 Фианит бесцветный Круг 2,5; 1 Фианит бесцветный Круг 3,5",2.16,18.0,0,585,decorative,1277.96
9771,silver,None,2.02,16.0,0,925,decorative,465.27
9772,silver,None,2.17,17.5,0,925,decorative,465.27
9773,silver,None,2.05,16.0,0,925,decorative,465.27
9774,silver,1 Аметист Круг 6; 50 Фианит ЛСК Круг 1,2.61,17.0,0,925,decorative,373.65
9775,gold,1 Бриллиант Кр-57-0.08ct-3/5А.,1.17,17.0,0,585,engagement,1056.14
9776,silver,4 Топаз Овал 4*3; 1 Топаз Овал 6*4; 12 Фианит б/ц Круг 1,1.63,19.0,0,925,decorative,116.61
9777,gold,"6 Бр Круг 57 0,267 3/5А",2.2,16.5,0,585,decorative,2350.11
9778,gold,1 Бриллиант Кр-57-0.14ct-4/5А,1.43,18.0,0,585,engagement,1640.62
9779,gold,1 Бриллиант Кр-57-0.14ct-4/5А,1.36,16.0,0,585,engagement,1594.67
9780,gold,None,3.24,18.0,0,585,pechatki,1808.67
9781,gold,None,3.4,19.5,0,585,pechatki,1897.95
9782,silver,None,8.23,19.5,0,925,decorative,350.19
9783,silver,None,9.05,18.5,0,925,decorative,350.24
9784,silver,None,1.99,16.5,0,925,decorative,230.8
9785,gold,None,1.18,17.0,0,585,engagement,594.53
9786,gold,None,1.23,15.5,0,585,engagement,886.62
9787,gold,None,1.24,15.5,0,585,engagement,893.83
9789,gold,None,1.29,16.5,0,585,engagement,929.92
9790,gold,None,1.3,17.5,0,585,engagement,937.13
9791,gold,None,1.31,17.5,0,585,engagement,944.34
9792,gold,None,1.33,16.0,0,585,engagement,958.76
9793,gold,None,1.33,16.5,0,585,engagement,958.76
9794,gold,None,1.39,17.5,1,585,engagement,1002.0
9795,gold,None,1.4,18.0,1,585,engagement,1009.2
9797,gold,None,1.41,18.0,0,585,engagement,1016.41
9798,gold,None,1.42,18.0,0,585,engagement,1023.62
9800,gold,"8 Бр Круг 17 0,060 2/3А; 7 0,596 Сапфир нат. Маркиз 4*2 2/2",2.0,17.5,0,585,decorative,1223.4
9801,gold,"8 Бр Круг 17 0,060 2/3А; 7 0,596 Сапфир нат. Маркиз 4*2 2/2",2.04,16.5,0,585,decorative,1543.81
9802,silver,16 Фианит бесцв. Круг 1,2.26,18.0,0,925,decorative,341.92
9803,silver,16 Фианит бесцв. Круг 1,2.21,19.0,0,925,decorative,112.16
9804,silver,16 Фианит бесцв. Круг 1,2.2,19.0,0,925,decorative,457.58
9805,silver,None,7.19,17.0,0,925,decorative,197.37
9806,silver,None,7.24,18.0,0,925,decorative,265.42
9807,silver,1 Фианит SWAROVSKI Круг 5,1.28,17.0,0,925,engagement,70.25
9808,gold,"15 фианит 1,25 Круг; 1 фианит 5,0*5,0 Сердце",1.39,16.0,0,585,decorative,777.73
9809,gold,"15 фианит 1,25 Круг; 1 фианит 5,0*5,0 Сердце",1.5,17.0,0,585,decorative,839.28
9810,gold,"5БРКр-57 1/5A 0,33",1.95,17.0,0,585,decorative,3306.63
9811,gold,"5БРКр-57 1/5A 0,33",1.99,16.0,0,585,decorative,3253.69
9812,gold,"5БРКр-57 1/5A 0,33",2.04,16.0,0,585,decorative,3396.58
9814,gold,"5БРКр-57 1/5A 0,33",2.04,16.5,0,585,decorative,3332.28
9815,gold,"5БРКр-57 1/5A 0,33",2.05,18.0,0,585,decorative,3335.1
9816,gold,"5БРКр-57 1/5A 0,33",2.08,17.0,0,585,decorative,3343.68
9817,gold,"5БРКр-57 1/5A 0,33",2.08,17.5,0,585,decorative,3407.98
9818,gold,"5БРКр-57 1/5A 0,33",2.14,17.5,0,585,decorative,3299.24
9819,gold,"5БРКр-57 1/5A 0,33",2.14,18.0,0,585,decorative,3427.87
9820,gold,"5БРКр-57 1/5A 0,33",2.15,17.5,0,585,decorative,3302.12
9821,gold,"5БРКр-57 1/5A 0,33",2.16,18.0,0,585,decorative,3304.97
9822,gold,"5БРКр-57 1/5A 0,33",2.0,16.5,0,585,decorative,3306.94
