,id,matter,weight,size,is_defect,platemark,type,price_before_takeoff
253,П7412-001К14,gold,2.0,17.0,0,585,wedding,1142.86
254,П7412-001К14,gold,2.0,17.0,0,585,wedding,1142.86
255,П7412-001К14,gold,2.0,17.0,0,585,wedding,1142.86
256,П7412-001К14,gold,2.03,17.0,0,585,wedding,1160.0
257,П7412-001К14,gold,2.04,17.5,0,585,wedding,929.67
258,П7412-001К14,gold,2.05,17.0,0,585,wedding,1171.43
259,П7412-001К14,gold,2.06,17.0,0,585,wedding,1177.15
260,П7412-001К14,gold,2.06,17.0,0,585,wedding,1177.15
261,П7412-001К14,gold,2.06,17.0,0,585,wedding,1177.15
262,П7412-001К14,gold,2.06,17.0,0,585,wedding,1177.15
263,П7412-001К14,gold,1.8,16.0,0,585,wedding,1028.57
264,П7412-001К14,gold,1.8,16.0,0,585,wedding,1028.57
265,П7412-001К14,gold,1.96,17.0,0,585,wedding,1120.0
266,П7412-001К14,gold,1.79,15.5,0,585,wedding,1022.86
267,П7412-001К14,gold,1.79,15.5,0,585,wedding,1022.86
268,П7412-001К14,gold,1.79,15.5,0,585,wedding,1022.86
269,П7412-001К14,gold,1.85,16.5,0,585,wedding,1057.15
270,П7412-001К14,gold,1.85,16.5,0,585,wedding,1057.15
271,П7412-001К14,gold,1.97,18.0,0,585,wedding,1125.72
272,П7412-001К14,gold,1.75,16.0,0,585,wedding,1000.0
273,П7412-001К14,gold,1.75,16.0,0,585,wedding,1000.0
274,П7412-001К14,gold,1.75,16.0,0,585,wedding,1000.0
275,П7412-001К14,gold,1.75,16.0,0,585,wedding,1000.0
276,П7412-001К14,gold,1.76,16.0,0,585,wedding,1005.72
277,П7412-001К14,gold,1.86,16.5,0,585,wedding,1062.86
278,П7412-001К14,gold,1.92,15.5,0,585,wedding,935.33
279,П7412-001К14,gold,1.92,15.5,0,585,wedding,935.33
280,П7412-001К14,gold,1.81,18.0,0,585,wedding,1034.29
281,П7412-001К14,gold,1.89,15.0,0,585,wedding,1080.0
282,П7412-001К14,gold,1.94,17.5,0,585,wedding,1108.57
283,П7412-001К14,gold,1.89,15.5,0,585,wedding,861.31
284,П7412-001К14,gold,1.9,16.5,0,585,wedding,1085.72
285,П7412-001К14,gold,1.9,16.5,0,585,wedding,1085.72
286,П7412-001К14,gold,1.93,17.0,0,585,wedding,1102.86
287,П7412-001К14,gold,1.87,16.5,0,585,wedding,1068.57
288,П7412-001К14,gold,1.87,16.5,0,585,wedding,1068.57
289,П7412-001К14,gold,1.87,16.5,0,585,wedding,1068.57
290,П7412-001К14,gold,1.89,18.0,0,585,wedding,1052.99
291,П7412-001К14,gold,1.84,15.0,0,585,wedding,1051.43
292,П7412-001К14,gold,1.99,17.5,0,585,wedding,1137.15
293,П7412-001К14,gold,1.99,17.5,0,585,wedding,1051.85
294,П7412-001К14,gold,1.87,15.5,0,585,wedding,910.97
295,П7412-001К14,gold,1.87,15.5,0,585,wedding,910.97
296,П7412-001К14,gold,1.87,15.5,0,585,wedding,910.97
297,П7412-001К14,gold,2.11,18.0,0,585,wedding,1175.57
298,П7412-001К14,gold,2.11,18.0,0,585,wedding,1205.72
299,П7412-001К14,gold,1.88,16.0,0,585,wedding,1074.29
300,П7412-001К14,gold,1.88,16.0,0,585,wedding,966.87
301,П7412-001К14,gold,1.95,16.0,0,585,wedding,1114.29
302,П7412-001К14,gold,1.78,15.5,0,585,wedding,991.71
303,П7412-001К14,gold,2.1,17.0,0,585,wedding,1200.0
304,П7412-001К14,gold,1.66,15.5,0,585,wedding,948.57
305,П7412-001К14,gold,2.19,18.0,0,585,wedding,1251.43
306,П7412-001К14,gold,2.19,18.0,0,585,wedding,1251.43
307,П7412-001К14,gold,1.83,15.0,0,585,wedding,891.47
308,П7412-001К14,gold,1.72,15.0,0,585,wedding,864.9
309,П7412-001К14,gold,1.45,15.5,0,585,wedding,745.72
310,П7412-001К14,gold,1.69,15.0,0,585,wedding,893.28
311,П7412-001К14,gold,1.53,15.5,0,585,wedding,874.29
312,П7412-001К14,gold,2.09,16.5,0,585,wedding,1194.29
313,П7412-001К14,gold,2.28,18.0,0,585,wedding,1302.86
314,П7412-001К14,gold,2.28,18.0,0,585,wedding,1302.86
315,П7412-001К14,gold,2.05,17.5,0,585,wedding,1171.43
316,П7412-001К14,gold,1.73,18.0,0,585,wedding,988.57
317,П7412-001К14,gold,1.71,15.0,0,585,wedding,977.15
318,П7412-001К14,gold,1.74,15.5,0,585,wedding,994.29
