артикул;материал;вес;размер;есть_дефект;проба;тип;цена_до_скидки
Т130013978;Золото;2.35;22,5;0;585;obruchalnye;1034
Т130013978;Золото;1.82;16;0;585;obruchalnye;1040
Т130013978;Золото;1.82;16;0;585;obruchalnye;1040
Т130013978;Золото;2.42;22,5;0;585;obruchalnye;1382.86
Т130013978;Золото;1.7;16;0;585;obruchalnye;748
Т130013978;Золото;1.7;16;0;585;obruchalnye;971.43
Т130013978;Золото;2.25;22;0;585;obruchalnye;990
Т130013978;Золото;2.43;22,5;0;585;obruchalnye;1069.2
Т130013978;Золото;1.65;15;0;585;obruchalnye;726
Т130013978;Золото;2.55;22,5;0;585;obruchalnye;1122
Т130013978;Золото;1.55;15;0;585;obruchalnye;682
Т130013978;Золото;1.82;15,5;0;585;obruchalnye;800.8
Т130013978;Золото;1.81;16;0;585;obruchalnye;1034.29
Т130013978;Золото;1.86;15;0;585;obruchalnye;818.4
Т130013978;Золото;1.61;15;0;585;obruchalnye;708.4
Т130013978;Золото;1.68;15,5;0;585;obruchalnye;739.2
Т130013978;Золото;2.55;21,5;0;585;obruchalnye;1122
Т130013978;Золото;1.66;16;1;585;obruchalnye;948.57
Т130013978;Золото;1.56;15;0;585;obruchalnye;891.43
Т130013978;Золото;1.65;16;0;585;obruchalnye;942.86
Т130013978;Золото;1.74;16;0;585;obruchalnye;994.29
Т130013978;Золото;1.98;16;0;585;obruchalnye;1131.43
Т130013978;Золото;2.29;22,5;0;585;obruchalnye;1308.57
Т130013978;Золото;2.07;17,5;0;585;obruchalnye;1182.86
Т130013978;Золото;2.74;21,5;0;585;obruchalnye;1565.72
П7412-001К14;Золото;1.73;15,5;0;585;obruchalnye;988.57
П7412-001К14;Золото;1.77;15,5;0;585;obruchalnye;1011.43
П7412-001К14;Золото;1.77;15,5;0;585;obruchalnye;1011.43
П7412-001К14;Золото;1.84;16,5;0;585;obruchalnye;1051.43
П7412-001К14;Золото;1.85;18;0;585;obruchalnye;1057.15
П7412-001К14;Золото;1.93;16,5;0;585;obruchalnye;992.58
П7412-001К14;Золото;1.98;18;0;585;obruchalnye;1131.43
П7412-001К14;Золото;1.99;18;0;585;obruchalnye;1137.15
П7412-001К14;Золото;1.99;18;0;585;obruchalnye;1137.15
П7412-001К14;Золото;2.04;18;0;585;obruchalnye;1025.83
П7412-001К14;Золото;2.08;18;0;585;obruchalnye;1045.93
П7412-001К14;Золото;1.68;15,5;0;585;obruchalnye;960
П7412-001К14;Золото;1.72;16;0;585;obruchalnye;982.86
П7412-001К14;Золото;1.75;15,5;0;585;obruchalnye;1000
П7412-001К14;Золото;1.75;15,5;0;585;obruchalnye;1000
П7412-001К14;Золото;1.78;16;0;585;obruchalnye;1017.15
П7412-001К14;Золото;1.78;16;0;585;obruchalnye;1017.15
П7412-001К14;Золото;1.78;16;0;585;obruchalnye;1017.15
П7412-001К14;Золото;1.85;16;0;585;obruchalnye;843.08
П7412-001К14;Золото;1.88;17,5;0;585;obruchalnye;1074.29
П7412-001К14;Золото;1.88;17,5;0;585;obruchalnye;1074.29
П7412-001К14;Золото;1.89;17;0;585;obruchalnye;1080
П7412-001К14;Золото;1.9;17;0;585;obruchalnye;1004.28
П7412-001К14;Золото;1.9;17;0;585;obruchalnye;1085.72
П7412-001К14;Золото;1.9;17,5;0;585;obruchalnye;1085.72
П7412-001К14;Золото;1.95;16,5;0;585;obruchalnye;1114.29
П7412-001К14;Золото;1.95;17,5;0;585;obruchalnye;1114.29
П7412-001К14;Золото;1.96;17,5;0;585;obruchalnye;1120
П7412-001К14;Золото;1.97;16,5;0;585;obruchalnye;1125.72
П7412-001К14;Золото;1.97;17;0;585;obruchalnye;1125.72
П7412-001К14;Золото;1.98;17,5;0;585;obruchalnye;1131.43
П7412-001К14;Золото;2;17;0;585;obruchalnye;1142.86
П7412-001К14;Золото;2;17;0;585;obruchalnye;1142.86
П7412-001К14;Золото;2;17;0;585;obruchalnye;1142.86
П7412-001К14;Золото;2.03;17;0;585;obruchalnye;1160
П7412-001К14;Золото;2.04;17,5;0;585;obruchalnye;929.67
П7412-001К14;Золото;2.05;17;0;585;obruchalnye;1171.43
П7412-001К14;Золото;2.06;17;0;585;obruchalnye;1177.15
П7412-001К14;Золото;2.06;17;0;585;obruchalnye;1177.15
П7412-001К14;Золото;2.06;17;0;585;obruchalnye;1177.15
П7412-001К14;Золото;2.06;17;0;585;obruchalnye;1177.15
П7412-001К14;Золото;1.8;16;0;585;obruchalnye;1028.57
П7412-001К14;Золото;1.8;16;0;585;obruchalnye;1028.57
П7412-001К14;Золото;1.96;17;0;585;obruchalnye;1120
П7412-001К14;Золото;1.79;15,5;0;585;obruchalnye;1022.86
П7412-001К14;Золото;1.79;15,5;0;585;obruchalnye;1022.86
П7412-001К14;Золото;1.79;15,5;0;585;obruchalnye;1022.86
П7412-001К14;Золото;1.85;16,5;0;585;obruchalnye;1057.15
П7412-001К14;Золото;1.85;16,5;0;585;obruchalnye;1057.15
П7412-001К14;Золото;1.97;18;0;585;obruchalnye;1125.72
П7412-001К14;Золото;1.75;16;0;585;obruchalnye;1000
П7412-001К14;Золото;1.75;16;0;585;obruchalnye;1000
П7412-001К14;Золото;1.75;16;0;585;obruchalnye;1000
П7412-001К14;Золото;1.75;16;0;585;obruchalnye;1000
П7412-001К14;Золото;1.76;16;0;585;obruchalnye;1005.72
П7412-001К14;Золото;1.86;16,5;0;585;obruchalnye;1062.86
П7412-001К14;Золото;1.92;15,5;0;585;obruchalnye;935.33
П7412-001К14;Золото;1.92;15,5;0;585;obruchalnye;935.33
П7412-001К14;Золото;1.81;18;0;585;obruchalnye;1034.29
П7412-001К14;Золото;1.89;15;0;585;obruchalnye;1080
П7412-001К14;Золото;1.94;17,5;0;585;obruchalnye;1108.57
П7412-001К14;Золото;1.89;15,5;0;585;obruchalnye;861.31
П7412-001К14;Золото;1.9;16,5;0;585;obruchalnye;1085.72
П7412-001К14;Золото;1.9;16,5;0;585;obruchalnye;1085.72
П7412-001К14;Золото;1.93;17;0;585;obruchalnye;1102.86
П7412-001К14;Золото;1.87;16,5;0;585;obruchalnye;1068.57
П7412-001К14;Золото;1.87;16,5;0;585;obruchalnye;1068.57
П7412-001К14;Золото;1.87;16,5;0;585;obruchalnye;1068.57
П7412-001К14;Золото;1.89;18;0;585;obruchalnye;1052.99
П7412-001К14;Золото;1.84;15;0;585;obruchalnye;1051.43
П7412-001К14;Золото;1.99;17,5;0;585;obruchalnye;1137.15
П7412-001К14;Золото;1.99;17,5;0;585;obruchalnye;1051.85
П7412-001К14;Золото;1.87;15,5;0;585;obruchalnye;910.97
П7412-001К14;Золото;1.87;15,5;0;585;obruchalnye;910.97
П7412-001К14;Золото;1.87;15,5;0;585;obruchalnye;910.97
П7412-001К14;Золото;2.11;18;0;585;obruchalnye;1175.57
П7412-001К14;Золото;2.11;18;0;585;obruchalnye;1205.72
